Compound ID,Uniprot,Target,E3 ligase,PDB,Name,Smiles,DC50 (nM),Dmax (%),Assay (DC50/Dmax),Percent degradation (%),Assay (Percent degradation),"IC50 (nM, Protac to Target)","Assay (Protac to Target, IC50)","EC50 (nM, Protac to Target)","Assay (Protac to Target, EC50)","Kd (nM, Protac to Target)","Assay (Protac to Target, Kd)","Ki (nM, Protac to Target)","Assay (Protac to Target, Ki)","delta G (kcal/mol, Protac to Target)","delta H (kcal/mol, Protac to Target)","-T*delta S (kcal/mol, Protac to Target)","Assay (Protac to Target, G/H/-TS)","kon (1/Ms, Protac to Target)","koff (1/s, Protac to Target)","t1/2 (s, Protac to Target)","Assay (Protac to Target, kon/koff/t1/2)","IC50 (nM, Protac to E3)","Assay (Protac to E3, IC50)","EC50 (nM, Protac to E3)","Assay (Protac to E3, EC50)","Kd (nM, Protac to E3)","Assay (Protac to E3, Kd)","Ki (nM, Protac to E3)","Assay (Protac to E3, Ki)","delta G (kcal/mol, Protac to E3)","delta H (kcal/mol, Protac to E3)","-T*delta S (kcal/mol, Protac to E3)","Assay (Protac to E3, G/H/-TS)","kon (1/Ms, Protac to E3)","koff (1/s, Protac to E3)","t1/2 (s, Protac to E3)","Assay (Protac to E3, kon/koff/t1/2)","IC50 (nM, Ternary complex)","Assay (Ternary complex, IC50)","EC50 (nM, Ternary complex)","Assay (Ternary complex, EC50)","Kd (nM, Ternary complex)","Assay (Ternary complex, Kd)","Ki (nM, Ternary complex)","Assay (Ternary complex, Ki)","delta G (kcal/mol, Ternary complex)","delta H (kcal/mol, Ternary complex)","-T*delta S (kcal/mol, Ternary complex)","Assay (Ternary complex, G/H/-TS)","kon (1/Ms, Ternary complex)","koff (1/s, Ternary complex)","t1/2 (s, Ternary complex)","Assay (Ternary complex, kon/koff/t1/2)","IC50 (nM, Cellular activities)","Assay (Cellular activities, IC50)","EC50 (nM, Cellular activities)","Assay (Cellular activities, EC50)","GI50 (nM, Cellular activities)","Assay (Cellular activities, GI50)","ED50 (nM, Cellular activities)","Assay (Cellular activities, ED50)","GR50 (nM, Cellular activities)","Assay (Cellular activities, GR50)","PAMPA Papp (nm/s, Permeability)","Assay (Permeability, PAMPA Papp)","Caco-2 A2B Papp (nm/s, Permeability)","Assay (Permeability, Caco-2 A2B Papp)","Caco-2 B2A Papp (nm/s, Permeability)","Assay (Permeability, Caco-2 B2A Papp)",Article DOI,Molecular Weight,Exact Mass,XLogP3,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area,Molecular Formula,InChI,InChI Key,ik14
94,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,26/35/28,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,935.039,934.291786072,5.62,65,6,10,4,12,188.07,C45H46F4N8O6S2,"InChI=1S/C45H46F4N8O6S2/c1-24-36(65-23-53-24)26-9-7-25(8-10-26)21-52-39(61)34-19-30(58)22-55(34)40(62)37(43(2,3)4)54-35(59)15-16-51-38(60)31-14-13-29(18-33(31)46)57-42(64)56(41(63)44(57,5)6)28-12-11-27(20-50)32(17-28)45(47,48)49/h7-14,17-18,23,30,34,37,58H,15-16,19,21-22H2,1-6H3,(H,51,60)(H,52,61)(H,54,59)/t30-,34+,37-/m1/s1",GHDHSFXBWJJYAN-XTYUYLDHSA-N,GHDHSFXBWJJYAN
95,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,15/23/23,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,949.066,948.307436136,5.98,66,6,10,4,13,188.07,C46H48F4N8O6S2,"InChI=1S/C46H48F4N8O6S2/c1-25-37(66-24-54-25)27-11-9-26(10-12-27)22-53-40(62)35-20-31(59)23-56(35)41(63)38(44(2,3)4)55-36(60)8-7-17-52-39(61)32-16-15-30(19-34(32)47)58-43(65)57(42(64)45(58,5)6)29-14-13-28(21-51)33(18-29)46(48,49)50/h9-16,18-19,24,31,35,38,59H,7-8,17,20,22-23H2,1-6H3,(H,52,61)(H,53,62)(H,55,60)/t31-,35+,38-/m1/s1",IWXCCOWEXFTLEC-HTSYFKMQSA-N,IWXCCOWEXFTLEC
96,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,16/20/25,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,963.093,962.3230862,6.34,67,6,10,4,14,188.07,C47H50F4N8O6S2,"InChI=1S/C47H50F4N8O6S2/c1-26-38(67-25-55-26)28-12-10-27(11-13-28)23-54-41(63)36-21-32(60)24-57(36)42(64)39(45(2,3)4)56-37(61)9-7-8-18-53-40(62)33-17-16-31(20-35(33)48)59-44(66)58(43(65)46(59,5)6)30-15-14-29(22-52)34(19-30)47(49,50)51/h10-17,19-20,25,32,36,39,60H,7-9,18,21,23-24H2,1-6H3,(H,53,62)(H,54,63)(H,56,61)/t32-,36+,39-/m1/s1",ZFWHPGQSSVNCFB-KZBBYPRMSA-N,ZFWHPGQSSVNCFB
97,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,11/25/29,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,977.12,976.338736264,6.7,68,6,10,4,15,188.07,C48H52F4N8O6S2,"InChI=1S/C48H52F4N8O6S2/c1-27-39(68-26-56-27)29-13-11-28(12-14-29)24-55-42(64)37-22-33(61)25-58(37)43(65)40(46(2,3)4)57-38(62)10-8-7-9-19-54-41(63)34-18-17-32(21-36(34)49)60-45(67)59(44(66)47(60,5)6)31-16-15-30(23-53)35(20-31)48(50,51)52/h11-18,20-21,26,33,37,40,61H,7-10,19,22,24-25H2,1-6H3,(H,54,63)(H,55,64)(H,57,62)/t33-,37+,40-/m1/s1",LBGRZWNYLZVZQM-HOLFLANQSA-N,LBGRZWNYLZVZQM
98,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,54/84/64,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,991.147,990.354386328,7.24,69,6,10,4,16,188.07,C49H54F4N8O6S2,"InChI=1S/C49H54F4N8O6S2/c1-28-40(69-27-57-28)30-14-12-29(13-15-30)25-56-43(65)38-23-34(62)26-59(38)44(66)41(47(2,3)4)58-39(63)11-9-7-8-10-20-55-42(64)35-19-18-33(22-37(35)50)61-46(68)60(45(67)48(61,5)6)32-17-16-31(24-54)36(21-32)49(51,52)53/h12-19,21-22,27,34,38,41,62H,7-11,20,23,25-26H2,1-6H3,(H,55,64)(H,56,65)(H,58,63)/t34-,38+,41-/m1/s1",QPHYYAFAFYEWMM-RHMQSKSJSA-N,QPHYYAFAFYEWMM
99,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,8/29/65,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,1005.174,1004.37003639,7.78,70,6,10,4,17,188.07,C50H56F4N8O6S2,"InChI=1S/C50H56F4N8O6S2/c1-29-41(70-28-58-29)31-15-13-30(14-16-31)26-57-44(66)39-24-35(63)27-60(39)45(67)42(48(2,3)4)59-40(64)12-10-8-7-9-11-21-56-43(65)36-20-19-34(23-38(36)51)62-47(69)61(46(68)49(62,5)6)33-18-17-32(25-55)37(22-33)50(52,53)54/h13-20,22-23,28,35,39,42,63H,7-12,21,24,26-27H2,1-6H3,(H,56,65)(H,57,66)(H,59,64)/t35-,39+,42-/m1/s1",UNTJCJBQCSZSDR-DCFQOXSYSA-N,UNTJCJBQCSZSDR
100,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,15/66/87,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,1019.201,1018.38568646,8.32,71,6,10,4,18,188.07,C51H58F4N8O6S2,"InChI=1S/C51H58F4N8O6S2/c1-30-42(71-29-59-30)32-16-14-31(15-17-32)27-58-45(67)40-25-36(64)28-61(40)46(68)43(49(2,3)4)60-41(65)13-11-9-7-8-10-12-22-57-44(66)37-21-20-35(24-39(37)52)63-48(70)62(47(69)50(63,5)6)34-19-18-33(26-56)38(23-34)51(53,54)55/h14-21,23-24,29,36,40,43,64H,7-13,22,25,27-28H2,1-6H3,(H,57,66)(H,58,67)(H,60,65)/t36-,40+,43-/m1/s1",SVTIVBBIZFCGJI-QIWIAYTASA-N,SVTIVBBIZFCGJI
101,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,10/48/88,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,1033.228,1032.40133652,8.86,72,6,10,4,19,188.07,C52H60F4N8O6S2,"InChI=1S/C52H60F4N8O6S2/c1-31-43(72-30-60-31)33-17-15-32(16-18-33)28-59-46(68)41-26-37(65)29-62(41)47(69)44(50(2,3)4)61-42(66)14-12-10-8-7-9-11-13-23-58-45(67)38-22-21-36(25-40(38)53)64-49(71)63(48(70)51(64,5)6)35-20-19-34(27-57)39(24-35)52(54,55)56/h15-22,24-25,30,37,41,44,65H,7-14,23,26,28-29H2,1-6H3,(H,58,67)(H,59,68)(H,61,66)/t37-,41+,44-/m1/s1",HBTUNEMDIYFWQW-ZKAWRXRFSA-N,HBTUNEMDIYFWQW
102,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,11/48/86,% AR degradation in LNCaP cells after 6 h treatment at 10/100/1000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,1047.255,1046.41698658,9.4,73,6,10,4,20,188.07,C53H62F4N8O6S2,"InChI=1S/C53H62F4N8O6S2/c1-32-44(73-31-61-32)34-18-16-33(17-19-34)29-60-47(69)42-27-38(66)30-63(42)48(70)45(51(2,3)4)62-43(67)15-13-11-9-7-8-10-12-14-24-59-46(68)39-23-22-37(26-41(39)54)65-50(72)64(49(71)52(65,5)6)36-21-20-35(28-58)40(25-36)53(55,56)57/h16-23,25-26,31,38,42,45,66H,7-15,24,27,29-30H2,1-6H3,(H,59,68)(H,60,69)(H,62,67)/t38-,42+,45-/m1/s1",JVXFONHOIBGDQZ-CENKHQFISA-N,JVXFONHOIBGDQZ
103,P10275,AR,VHL,,,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCCNC(=O)C3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(C(F)(F)F)=C5)C(=O)C4(C)C)C=C3F)C(C)(C)C)C=C2)SC=N1,,,,30/69/75,% AR degradation in LNCaP cells after 6 h treatment at 100/1000/10000 nM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1021/acs.jmedchem.8b01631,1061.282,1060.43263665,9.94,74,6,10,4,21,188.07,C54H64F4N8O6S2,"InChI=1S/C54H64F4N8O6S2/c1-33-45(74-32-62-33)35-19-17-34(18-20-35)30-61-48(70)43-28-39(67)31-64(43)49(71)46(52(2,3)4)63-44(68)16-14-12-10-8-7-9-11-13-15-25-60-47(69)40-24-23-38(27-42(40)55)66-51(73)65(50(72)53(66,5)6)37-22-21-36(29-59)41(26-37)54(56,57)58/h17-24,26-27,32,39,43,46,67H,7-16,25,28,30-31H2,1-6H3,(H,60,69)(H,61,70)(H,63,68)/t39-,43+,46-/m1/s1",YLEYRJVYSVNVMW-ILGHAVELSA-N,YLEYRJVYSVNVMW
