ID,series,Smiles,ik14,skin_retention_pct,dc50_nM,dc50_censored,dmax_pct,dc50_raw,dmax_raw,leaked_stan_train,leaked_old_db
A1,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CC(CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)C4)=C3)=O,BHFWRNDFPCQHOI,8.45,,,,,,False,False
A2,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,QUEAMSQLKNVUPL,1.94,,,,,,False,False
A3,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CCN(CC(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)CC4)=C3)=O,WXVPDRFGATVSIX,8.73,,,,,,False,False
A4,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,HBVQLMCQNITKRJ,5.75,,,,,,False,False
A5,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CC4N(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,KHNWNCRFBKXCLJ,5.84,,,,,,False,False
A6,A,O=C(N(C1C(NC(CC1)=O)=O)C2=O)C(C2=CC=C3)=C3N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6,JFAPRUPBINEFPU,0.96,,,,,,False,False
A7,A,O=C(N1C2C(NC(CC2)=O)=O)C3=CC(N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=CC=C3C1=O,OMCNXABIZQBFFQ,0.68,,,,,,False,False
A8,A,O=C(N1C2C(NC(CC2)=O)=O)C3=C(NC4CCN(CC5CCN(C6=CC=C(C(F)(F)F)C=C6)CC5)CC4)C=CC=C3C1=O,BIOPFOQVWFOKFQ,4.34,,,,,,False,False
A9,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(F)=C(N4CC(CN5CCC(C6=CC=C(C(F)(F)F)C=C6)CC5)C4)C=C31)=O,PGKGFERHZUZJRG,2.22,,,,,,False,False
A10,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N(CC3)CCN3CC(CC4)CCN4C5=CC=C(F)C=C5,VVOGSAIRLAXLFE,4.99,,,,,,False,False
A11,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(C(CC4)CCN4C5=CC=C(F)C=C5)CC3,VUCUGYIPBBFFHH,9.12,,,,,,False,False
A12,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(CCCCC4=CC=C(F)C=C4)CC3,KZTCOZBHANESAF,6.93,,,,,,False,False
A13,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(CCC(CC4)CCN4C5=CC=C(F)C=C5)CC3,CCICTUHCXUHDKO,3.92,,,,,,False,False
A14,A,O=C(NC(CC1)=O)C1N(C2=O)CC3=C2C=CC=C3C#CCN4CCN(CC#CCOC5=CC=C(C(F)(F)F)C=C5)CC4,PBKGTFXVTBVJKT,1.91,,,,,,False,False
