ik14,smiles,targets,mw,tpsa,is_ar,is_held,is_seen,x,y
AAANIVVODIZQAG,COC1=CC(N2CCN(CCCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)N[C@@H](C)C3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1,EGFR del19/T790M/C797S,1069.8,194.2,0,0,0,0.767,11.727
AAENOOUXCIZPNX,CC(C)(C(=O)NC1=CC=C(C(F)(F)F)C=C1N1CC2CCCC2C1)N1C=C(C#CC2CN(C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)C2)C=N1,AR-V7,741.8,136.9,1,0,0,-0.795,19.572
AAEQMRGNIHSULB,NC1=NC=CC=C1C1=NC2=CC=C(C3=CC=CC(CCNC(=O)CNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)=C3)N=C2N1C1=CC=C(C2(N)CCC2)C=C1,AKT1/AKT2/AKT3,788.9,220.3,0,0,0,-8.477,3.605
AAERNZFFOMNEGX,O=C(COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCCCC(=O)N1CCC(NC(=O)C2=N[NH]C=C2NC(=O)C2=C(Cl)C=CC=C2Cl)CC1,CDK9,837.7,229.1,0,0,0,6.691,7.161
AAFBROZXFJRJFC,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCOCCOCCOCCOCCOCCC(=O)NCCN3CCN(CC4=CC=CC(C5=CC=C(N6CCN(C)CC6)C(NC(=O)C6=C[NH]C(=O)C=C6C(F)(F)F)=C5)=C4)CC3)C(C)(C)C)C=C2)SC=N1,WDR5,1330.6,261.8,0,0,0,-7.135,12.244
AAGMQVFKPKFXDV,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCNC(=O)C3=CC=C(C(=O)NC4=CC=CC(NC5=CC(C6=C[NH]C7=CC=CC=C67)=NC=N5)=C4)C=C3)C(C)(C)C)C=C2)SC=N1,PIP4K2C,947.1,223.4,0,0,0,1.961,-4.055
AAIBHYRHAALMGY,CCCCCCNNC(=O)C1=CC=C(CNC(=O)CCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C=C1,HDAC8,604.7,165.8,0,0,0,5.031,7.949
AAIPPJPUZKZIHC,CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=C[NH]C3=NC=C(C4=CC=C(CNC(=O)CCCCNC5=CC=C6C(=O)N(C7CCC(=O)NC7=O)C(=O)C6=C5)C=C4)C=C23)=C1F,BRAF V600E,839.9,216.6,0,0,0,2.802,5.646
AAJKURLKPBZSFJ,CC1(C)CCC(C2=CC=C(Cl)C=C2)=C(CN2CCN(C3=CC=C(C(=O)NS(=O)(=O)C4=CC=C(N[C@H](CCN5CCN(C(=O)COCCOCCOCCNC6=CC=CC7=C6C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CSC5=CC=CC=C5)C(S(=O)(=O)C(F)(F)F)=C4)C=C3)CC2)C1,BCL-xL,1419.1,262.7,0,0,0,2.637,20.816
AAKFJWJWMSEXFZ,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=C(F)C=C2)=CS1)C1CCN(CCCC(=O)N2CCC[C@@H](N3N=C(C4=CC=C(OC5=CC=C(F)C=C5F)C=C4)C(C(N)=O)=C3N)C2)CC1,BTK,983.1,211.1,0,0,0,10.567,10.302
AAQOXAWHJSJKEC,CC1=C(C2=CC=C([C@H](C)NC(=O)C3C[C@@H](OC(=O)OCCSC(C)(C)SCCO)CN3C(=O)[C@H](NC(=O)CCC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC3=CC=C(N4C(=O)/C(=C/C5=CC=C(Cl)C=C5)C=C4C4=CC=CC=C4)C=C3)C(C)(C)C)C=C2)SC=N1,STAT3,1651.5,304.5,0,0,0,1.649,21.428
