ID,Uniprot,E3 ligase Uniprot,Smiles,Molecular Weight,Exact Mass,XLogP3,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
A1,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CC(CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)C4)=C3)=O,554.5690000000003,554.214090068,3.4224000000000023,40,6,6,1,5,90.03
A2,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,568.5960000000005,568.2297401320001,3.812500000000002,41,6,6,1,5,90.03
A3,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CCN(CC(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)CC4)=C3)=O,583.6110000000002,583.2406391640001,3.1452000000000018,42,6,7,1,5,93.26999999999998
A4,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,582.6230000000005,582.2453901960001,4.202600000000004,42,6,6,1,5,90.03
A5,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CC4N(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,541.5300000000003,541.1936889720001,2.1174,39,6,7,1,4,93.26999999999998
A6,P10275,Q96SW2,O=C(N(C1C(NC(CC1)=O)=O)C2=O)C(C2=CC=C3)=C3N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6,569.5840000000005,569.2249891000001,2.7551000000000005,41,6,7,1,5,93.27
A7,P10275,Q96SW2,O=C(N1C2C(NC(CC2)=O)=O)C3=CC(N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=CC=C3C1=O,569.5840000000003,569.2249891000001,2.7551000000000005,41,6,7,1,5,93.26999999999998
A8,P10275,Q96SW2,O=C(N1C2C(NC(CC2)=O)=O)C3=C(NC4CCN(CC5CCN(C6=CC=C(C(F)(F)F)C=C6)CC5)CC4)C=CC=C3C1=O,597.6380000000003,597.2562892280001,3.8995000000000015,43,6,7,2,6,102.06
A9,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(F)=C(N4CC(CN5CCC(C6=CC=C(C(F)(F)F)C=C6)CC5)C4)C=C31)=O,572.5590000000002,572.2046682560001,3.5615000000000023,41,6,6,1,5,90.03
A10,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N(CC3)CCN3CC(CC4)CCN4C5=CC=C(F)C=C5,507.61000000000047,507.264568168,2.3992999999999998,37,5,6,2,6,84.99
A11,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(C(CC4)CCN4C5=CC=C(F)C=C5)CC3,493.5830000000004,493.248918104,2.151699999999999,36,5,6,2,5,84.99
A12,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(CCCCC4=CC=C(F)C=C4)CC3,466.5570000000004,466.238019072,2.5055999999999994,34,4,5,2,8,81.75
A13,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(CCC(CC4)CCN4C5=CC=C(F)C=C5)CC3,521.6370000000004,521.280218232,2.7894,38,5,6,2,7,84.99
A14,P10275,Q96SW2,O=C(NC(CC1)=O)C1N(C2=O)CC3=C2C=CC=C3C#CCN4CCN(CC#CCOC5=CC=C(C(F)(F)F)C=C5)CC4,578.5910000000002,578.214090068,2.517900000000001,42,5,6,1,5,82.19
A15,P10275,Q96SW2,O=C(NC(CC1)=O)C1N(C2=O)CC3=C2C=CC(C#CCN4CCN(CC#CCOC5=CC=C(C(F)(F)F)C=C5)CC4)=C3,578.5910000000002,578.214090068,2.517900000000001,42,5,6,1,5,82.19
A16,P10275,Q96SW2,O=C(NC(CC1)=O)C1N(C2=O)CC3=C2C=CC(C#CCN4CCN(C5=CC=C(C(F)(F)F)C=C5)CC4)=C3,510.51600000000025,510.1878753200001,2.640100000000001,37,5,5,1,3,72.96
B1,P10275,Q96SW2,ClC1=C(C#N)C=CC(O[C@H]2CC[C@H](NC(C3=CC=C(C4CCN(CC5CN(C6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)C5)CC4)C=C3)=O)CC2)=C1,763.2950000000001,762.2932607760001,5.048680000000004,55,8,9,2,9,152.14999999999998
B2,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCCC4CN5CCC(C6=CC=C(C(N[C@H](CC7)CC[C@@H]7OC8=CC(Cl)=C(C#N)C=C8)=O)C=C6)CC5)=C3)=O,791.3490000000002,790.324560904,5.828880000000006,57,8,9,2,9,152.14999999999998
B3,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(N(CC4)CCC4CN5CCN(C6=CC=C(C(N[C@H](CC7)CC[C@@H]7OC8=CC(Cl)=C(C#N)C=C8)=O)C=C6)CC5)=CC=C31)=O,792.3370000000002,791.3198098720001,4.771480000000004,57,8,10,2,9,155.39
B4,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(N(CC4)CC4CN5CCN(C6=CC=C(C(N[C@H](CC7)CC[C@@H]7OC8=CC(Cl)=C(C#N)C=C8)=O)C=C6)CC5)=CC=C31)=O,778.3100000000001,777.304159808,4.381380000000004,56,8,10,2,9,155.39
B5,P10275,Q96SW2,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(N(C4)CC4N5CCN(C6=CC=C(C(N[C@H](CC7)CC[C@@H]7OC8=CC(Cl)=C(C#N)C=C8)=O)C=C6)CC5)=CC=C31)=O,750.2560000000001,749.27285968,3.743680000000004,54,8,10,2,8,155.39
B6,P10275,Q96SW2,ClC1=C(C#N)C=CC(O[C@H]2CC[C@H](NC(C3=CC=C(N4CCC(CN5CCN(C6=CC(C(N(C7C(NC(CC7)=O)=O)C8=O)=O)=C8C=C6)CC5)CC4)C=C3)=O)CC2)=C1,792.3369999999999,791.3198098720003,4.771480000000002,57,8,10,2,9,155.39
C1,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C2=CC=C(N3CCN(C4CCN(C5=CC=C(C(N[C@H]6CC[C@H](OC7=CC(Cl)=C(C#N)C=C7)CC6)=O)C=C5)CC4)CC3)C=C2,752.3159999999998,751.324895252,4.6576800000000045,54,7,9,3,9,147.11
C2,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C2=CC=C(N3CCN(CC4CCN(C5=CC=C(C(N[C@H]6CC[C@H](OC7=CC(Cl)=C(C#N)C=C7)CC6)=O)C=C5)CC4)CC3)C=C2,766.3429999999998,765.340545316,4.905280000000005,55,7,9,3,10,147.11
C3,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C2=CC=C(N3CCN(CCC4CCN(C5=CC=C(C(N[C@H]6CC[C@H](OC7=CC(Cl)=C(C#N)C=C7)CC6)=O)C=C5)CC4)CC3)C=C2,780.3699999999999,779.35619538,5.295380000000005,56,7,9,3,11,147.11
C4,P10275,Q96SW2,ClC1=C(C#N)C=CC(O[C@H]2CC[C@H](NC(C3=CC=C(CCCCN4CCN(C5=CC=C(C=C5)C(NC6C(NC(CC6)=O)=O)=O)CC4)C=C3)=O)CC2)=C1,725.2900000000001,724.3139962200003,5.011580000000004,52,6,8,3,12,143.86999999999998
C5,P10275,Q96SW2,O=C(C1=CC=C(C=C1)C2CCN(CC2)CC(C3)CN3C4=CC=C(C(NC5CCC(NC5=O)=O)=O)C=C4)N[C@@H](CC6)CC[C@H]6OC(C=C7)=CC(Cl)=C7C#N,737.3009999999997,736.3139962199999,5.182480000000004,53,7,8,3,10,143.87
C6,P10275,Q96SW2,O=C(C1=CC=C(C=C1)C2CCN(CC2)CC3CCCN(C4=CC=C(C(NC5CCC(NC5=O)=O)=O)C=C4)C3)N[C@@H](CC6)CC[C@H]6OC(C=C7)=CC(Cl)=C7C#N,765.3549999999997,764.3452963479999,5.962680000000004,55,7,8,3,10,143.87
C7,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CC(CN4CCN(C5=CC=C(C(N[C@H]6CC[C@H](OC7=CC(Cl)=C(C#N)C=C7)CC6)=O)C=C5)CC4)CC3,752.3159999999999,751.324895252,4.515180000000004,54,7,9,3,10,147.11
D1,P10275,Q96SW2,O=C(NC1C(NC(CC1)=O)=O)C2=CC=C(N3CCN(C4CCN(C5=CC=C(C(N[C@H]6CC[C@H](OC7=CC(Cl)=C(C#N)C=C7)CC6)=O)C=C5)CC4)CC3)C(F)=C2,770.3059999999998,769.31547344,4.7967800000000045,55,7,9,3,9,147.11
D2,P10275,Q96SW2,O=C(C1=CC=C(C=C1)C2CCN(CC2)CC(C3)CN3C4=CC=C(C(NC5CCC(NC5=O)=O)=O)C(C)=C4)N[C@@H](CC6)CC[C@H]6OC(C=C7)=CC(Cl)=C7C#N,751.3279999999997,750.3296462839999,5.4909000000000034,54,7,8,3,10,143.87
D3,P10275,Q96SW2,O=C(C1=CC=C(F)C(=C1)C2CCN(CC2)CC3CCCN(C4=CC=C(C(NC5CCC(NC5=O)=O)=O)C=C4)C3)N[C@@H](CC6)CC[C@H]6OC(C=C7)=CC(Cl)=C7C#N,783.3449999999998,782.3358745359999,6.101780000000005,56,7,8,3,10,143.87
