doi,year
10.1002/adma.202314132.,
10.1002/adma.202411454,2024.0
10.1002/advs.202104823,2022.0
10.1002/advs.202205573,2023.0
10.1002/advs.202308186,2024.0
10.1002/advs.202309459,2024.0
10.1002/advs.202400398,2024.0
10.1002/advs.202400594,2024.0
10.1002/advs.202405829,2024.0
10.1002/anie.201412154,2015.0
10.1002/anie.201507634,2015.0
10.1002/anie.201611281,2017.0
10.1002/anie.201706529,2017.0
10.1002/anie.201901336,2019.0
10.1002/anie.201913904,2020.0
10.1002/anie.201914396,2019.0
10.1002/anie.202003500,2020.0
10.1002/anie.202004087,2020.0
10.1002/anie.202006725,2020.0
10.1002/anie.202101328,2021.0
10.1002/anie.202101864,2021.0
10.1002/anie.202108848,2021.0
10.1002/anie.202109237,2021.0
10.1002/anie.202116782,2022.0
10.1002/anie.202204395,2022.0
10.1002/anie.202206277,2022.0
10.1002/anie.202302364,2023.0
10.1002/anie.202303818,2023.0
10.1002/anie.202308292,2023.0
10.1002/anie.202310059,2023.0
10.1002/anie.202315425,2024.0
10.1002/anie.202315997,2024.0
10.1002/anie.202318568,2024.0
10.1002/anie.202319456,2024.0
10.1002/ardp.202100467,2022.0
10.1002/cbdv.202400753,2024.0
10.1002/cbic.202100047,2021.0
10.1002/cbic.202200275,2022.0
10.1002/cbic.202300141,2023.0
10.1002/cbic.202300351,2023.0
10.1002/cbic.202300392,2023.0
10.1002/cbic.202300515,2023.0
10.1002/cbic.202300736,2024.0
10.1002/cbic.202400183,2024.0
10.1002/chem.202400430,2024.0
10.1002/chem.202400611,2024.0
10.1002/cmdc.202000872,2020.0
10.1002/cmdc.202200615,2023.0
10.1002/cmdc.202400269,2024.0
10.1002/cmdc.202400467,2024.0
10.1002/mabi.202400427,2024.0
10.1002/smtd.202201293,2022.0
10.1007/978-1-0716-3985-6_18,2024.0
10.1007/s00018-023-04796-7,2023.0
10.1007/s11030-023-10776-7,2024.0
10.1007/s13238-018-0602-z,2019.0
10.1007/s13238-020-00732-8,2020.0
10.1016/j.apsb.2020.01.014,2020.0
10.1016/j.apsb.2020.02.010,2020.0
10.1016/j.apsb.2020.11.001,2021.0
10.1016/j.apsb.2020.11.009,2021.0
10.1016/j.apsb.2020.11.022,2021.0
10.1016/j.apsb.2021.12.017,2022.0
10.1016/j.apsb.2022.07.007,2022.0
10.1016/j.apsb.2023.01.014,2023.0
10.1016/j.apsb.2024.03.008,2024.0
10.1016/j.bbrc.2018.09.169,2018.0
10.1016/j.bbrc.2019.11.007,2020.0
10.1016/j.bbrc.2024.151001,2024.0
10.1016/j.bcp.2022.115329,2022.0
10.1016/j.bcp.2023.115693,2023.0
10.1016/j.bioorg.2018.08.028,2018.0
10.1016/j.bioorg.2019.03.035,2019.0
10.1016/j.bioorg.2020.103817,2020.0
10.1016/j.bioorg.2020.104453,2020.0
10.1016/j.bioorg.2021.104788,2021.0
10.1016/j.bioorg.2021.104833,2021.0
10.1016/j.bioorg.2021.104901,2021.0
10.1016/j.bioorg.2021.105447,2021.0
10.1016/j.bioorg.2021.105505,2022.0
10.1016/j.bioorg.2021.105508,2022.0
10.1016/j.bioorg.2022.105605,2022.0
10.1016/j.bioorg.2022.106327,2023.0
10.1016/j.bioorg.2023.106439,2023.0
10.1016/j.bioorg.2023.106461,2023.0
10.1016/j.bioorg.2023.106546,2023.0
10.1016/j.bioorg.2023.106556,2023.0
10.1016/j.bioorg.2023.106590,2023.0
10.1016/j.bioorg.2023.106637,2023.0
10.1016/j.bioorg.2023.106762,2023.0
10.1016/j.bioorg.2023.106793,2023.0
10.1016/j.bioorg.2023.106952,2024.0
10.1016/j.bioorg.2023.107016,2024.0
