ID,series,ik14,leaked_stan_train,leaked_old_db
A1,A,BHFWRNDFPCQHOI,False,False
A2,A,QUEAMSQLKNVUPL,False,False
A3,A,WXVPDRFGATVSIX,False,False
A4,A,HBVQLMCQNITKRJ,False,False
A5,A,KHNWNCRFBKXCLJ,False,False
A6,A,JFAPRUPBINEFPU,False,False
A7,A,OMCNXABIZQBFFQ,False,False
A8,A,BIOPFOQVWFOKFQ,False,False
A9,A,PGKGFERHZUZJRG,False,False
A10,A,VVOGSAIRLAXLFE,False,False
A11,A,VUCUGYIPBBFFHH,False,False
A12,A,KZTCOZBHANESAF,False,False
A13,A,CCICTUHCXUHDKO,False,False
A14,A,PBKGTFXVTBVJKT,False,False
A15,A,NQHDMBJISHLYBF,False,False
A16,A,CDOYIDHJIATCFS,False,False
B1,B,BGGYXPZRKHXKTK,False,False
B2,B,WXRDASAHRFKJHS,False,False
B3,B,QJZUVOHJKPMREF,True,True
B4,B,ISCKBSGCEFRHME,False,False
B5,B,IFCKDGNCNVHZTM,True,True
B6,B,KJKKWBXZQRPXEJ,False,False
C1,C,QNVPVBBZBVQLGJ,False,False
C2,C,IMIAXBUFLNRVSC,False,False
C3,C,GCLKTAHHIVNPAD,False,False
C4,C,GKYHQXCFBAITDJ,False,False
C5,C,JAYKQDRVSYXUTL,False,False
C6,C,HIASROZGGWJIKC,False,False
C7,C,PJVPTSGDMUPHDA,False,False
