ik14,Smiles,Uniprot,Target,E3 ligase,e3u,dc50_nM,dmax_pct,n_assay,active,leaked
ADNQFJRANZZPKY,O=C1CCC(N2C(=O)C3=CC=C(OCCOCCOCCOCCN4CCN(CC5=CC=C6N=C(NC(=O)C7=CC=CC(C(F)(F)F)=C7)N([C@H]7CC[C@@H](CO)CC7)C6=C5)CC4)C=C3C2=O)C(=O)N1,Q9NWZ3,IRAK4,CRBN,Q96SW2,30.0,70.0,1,0,True
ADTXLFJKQHYGPM,COC1=CC(C(=O)NCCOCCOCCOCCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=CC=C1NC1=NC=C(C(F)(F)F)C(OC2=CC=CC3=C2C(=O)CC3)=N1,Q05397,FAK,CRBN,Q96SW2,204.5,64.5,4,0,True
AFQYUHBTQNKWIU,CNCCOC1=CC(C2=C(C)N=CS2)=CC=C1CNC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCOCCOCCNC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=C(SC(C)=C2C)N2C(C)=NN=C12)C(C)(C)C,O60885,BRD4,VHL,P40337,780.0,99.0,1,0,True
AIFXAXRMMBWMAG,CC(=O)N1C2=CC=C(C3=CC=C(C(=O)NCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC4=CC=C(C5=C(C)N=CS5)C=C4)C(C)(C)C)C=C3)C=C2[C@H](NC2=CC=C(Cl)C=C2)C[C@@H]1C,Q15059,BRD3,VHL,P40337,142.0,84.0,2,0,True
AJTLGUJXIKEZCQ,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2C1CCN(CCOCCOCC(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)CC1,Q06187,BTK,CRBN,Q96SW2,9.1,99.0,3,1,True
AMPBLCGZRAITTM,CC(C)(C)[C@H](NC(=O)COCCCCCOC1=CC=C(C(=O)N[C@H]2C(C)(C)[C@H](OC3=CC=C(C#N)C(Cl)=C3)C2(C)C)C=C1)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=CN=CS2)C=C1,P10275,AR,VHL,P40337,50.0,71.0,1,0,True
AORZPRLVKUMTOJ,CC[C@@H]1C2=NN=C(C)N2C2=CN=C(NC3=CC=C(C(=O)NC4CCN(C(=O)COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)C=C3OC)N=C2N1CC1CCCCC1,O60885,BRD4,CRBN,Q96SW2,1.0,99.0,1,1,True
ATTMBNXPUWOYNQ,CN(C1=CC=CC(CNC2=NC(NC3=CC=C(OCCCOCCC(=O)NCCOC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C3)=NC=C2C(F)(F)F)=C1)S(C)(=O)=O,Q05397,FAK,CRBN,Q96SW2,8.2,98.0,1,1,True
AWOLTJZICWTLFS,NC1=NC=NC2=C1C(C1=CC=C(OC3=CC=CC=C3)C=C1)=NN2[C@@H]1CCCN(C(=O)/C=C/COCCOCCOCCOCCOCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)C1,Q06187,BTK,CRBN,Q96SW2,8.6,91.0,1,1,True
BEEAHZAQHFFDHP,CN(C1=CC=C(C#N)C(Cl)=C1)[C@H]1CC[C@H](NC(=O)C2=CC=C(N3CCC(N4CCN(C5=CC=C6C(=O)N(C7CCC(=O)NC7=O)C(=O)C6=C5)CC4)CC3)C=C2)CC1,P10275,AR,CRBN,Q96SW2,0.195,97.0,2,1,True
