ik14,Smiles,Uniprot,Target,E3 ligase,e3u,dc50_nM,dmax_pct,n_assay,active,leaked,cell_line
ABUVLEBOCBCHTJ,CCCCCCNNC(=O)C1=CC=C(CNC(=O)CCCCCCCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)C=C1,Q9BY41,HDAC8,VHL,P40337,62.1,93.0,1,1,False,Jurkat
ACFXVKUYZHYIDS,C[C@H]1CN(C(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CCN1C1=CC=C(NC2=CC(C3=CC=NC(N4CCN5C(=CC6=C5CC(C)(C)C6)C4=O)=C3CO)=CN(C)C2=O)N=C1,Q06187,BTK,CRBN,Q96SW2,1.7,96.2,1,1,False,Ramos/JeKo-1
ACMROOUABKJKKG,CN(CCCC(=O)N1CCN2C3=CC=C4C(=O)N([C@H]5CCC(=O)NC5=O)CC4=C3OC[C@H]2C1)C1=CC=C([C@@H]2C3=CC=C(O)C=C3CC[C@@H]2C2=CC=CC=C2)C=C1,P03372,ERalpha,CRBN,Q96SW2,1.6,55.0,1,0,False,MCF-7
ACOYARXDWOCIQF,CN1CCN([C@@H]2CCCN(C3=CN=C(C(N)=O)C(NC4=CN(C5CCN(CC6CCN(C7=CC=C8C(=O)N([C@@H]9CCC(=O)NC9=O)C(=O)C8=C7)CC6)CC5)N=C4)=N3)C2)C1=O,Q06187,BTK,CRBN,Q96SW2,0.63,96.0,1,1,False,TMD8
ACPPLMFDTMNKCM,C#CC1=C(F)C=CC2=CC(O)=CC(C3=NC=C4C(N5CC6CCC(C5)N6)=NC(OCCN5CCC6(CC5)CCN(CC5CCN(C7=CC=C8C(=C7)N(C(C)C)C(=O)N8C7CCC(=O)NC7=O)CC5)CC6)=NC4=C3F)=C12,P01116,KRAS,CRBN,Q96SW2,100.0,70.0,1,0,False,AsPC-1
ACWNPHGMLLQDAP,C#CC1=C(F)C=CC2=CC(O)=CC(C3=NC=C4C(N5CC6CCC(C5)N6)=NC(OC[C@@H]5C[C@@H](OC6CCN(CC7CCN(C8=CC=C9C(=O)N(C%10CCC(=O)NC%10=O)CC9=C8Cl)CC7)CC6)CN5C)=NC4=C3F)=C12,P01116,KRAS,CRBN,Q96SW2,100.0,70.0,1,0,False,AsPC-1
ADRHCEUDBUBWKX,CN(CCOCCOCCOCCOCC(=O)NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)CC[C@@H](C1=CC=CC=C1)N1C=C(NC(=O)C2=N[NH]C3=C2CCC(C)(C)C3)C=N1,Q08881,ITK,CRBN,Q96SW2,286.2,75.0,1,0,False,Jurkat
ADRVUGPWBAQVJT,CC(=O)N1CCC2=C(C1)C(N1CCCC3=CC(C4=CN(C)N=C4)=C(C(F)F)C=C31)=NN2C1CCN(C(=O)CN2CC3=CC4=C(C=C3C2)C(=O)N(C2CCC(=O)NC2=O)C4=O)CC1,Q92793,CBP,CRBN,Q96SW2,13.95,90.5,2,1,False,
ADSIIVHEKXSDKX,CC(=O)N1CCC2=C(C1)C(N1CCCC3=CC(C4CC4)=C(C(F)F)C=C31)=NN2C1CCN(C(=O)CN2CC3=CC4=C(C=C3C2)C(=O)N(C2CCC(=O)NC2=O)C4=O)CC1,Q92793,CBP,CRBN,Q96SW2,40.5,94.0,2,1,False,
AEKWJGQYDRXUQW,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCC(=O)N3CCN(C4=CC=C(NC5=NC(NC6=CC=CC=C6S(=O)(=O)C(C)C)=C6N=C[NH]C6=N5)C=C4)CC3)C(C)(C)C)C=C2)SC=N1,P33981,TTK,VHL,P40337,1158.0,44.0,5,0,False,MV4-11 HiBiT-TTK
