ID,series,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,dc50_nM,dmax_pct,stan_active_prob,leaked
A1,A,0.764,0.62,0.503,0.891,0.267,0.83,,,0.613,False
A10,A,0.823,0.821,0.749,0.899,0.767,0.842,,,0.083,False
A11,A,0.772,0.643,0.519,0.928,0.261,0.835,,,0.1,False
A12,A,0.796,0.773,0.658,0.917,0.636,0.831,,,0.599,False
A13,A,0.763,0.68,0.556,0.89,0.347,0.815,,,0.432,False
A14,A,0.761,0.609,0.52,0.844,0.166,0.821,,,0.116,False
A15,A,0.778,0.663,0.579,0.862,0.493,0.827,,,0.178,False
A16,A,0.819,0.819,0.749,0.9,0.739,0.837,,,0.066,False
A2,A,0.768,0.656,0.541,0.904,0.235,0.825,,,0.107,False
A3,A,0.756,0.641,0.53,0.897,0.269,0.813,,,0.205,False
A4,A,0.772,0.653,0.543,0.904,0.486,0.829,,,0.489,False
A5,A,0.77,0.758,0.616,0.889,0.59,0.808,,,0.055,False
A6,A,0.775,0.633,0.528,0.895,0.328,0.836,,,0.058,False
A7,A,0.766,0.686,0.555,0.857,0.413,0.818,,,0.071,False
A8,A,0.773,0.665,0.567,0.907,0.384,0.825,,,0.753,False
A9,A,0.78,0.702,0.563,0.885,0.443,0.835,,,0.514,False
B1,B,0.817,0.785,0.709,0.916,0.711,0.843,1000.0,48.0,0.18,False
B2,B,0.827,0.831,0.754,0.949,0.715,0.845,1000.0,37.0,0.669,False
B3,B,0.823,0.816,0.719,0.933,0.675,0.849,8.97,76.0,0.254,True
B4,B,0.811,0.778,0.666,0.919,0.587,0.847,1000.0,34.0,0.517,False
B5,B,0.829,0.845,0.775,0.959,0.741,0.843,1000.0,37.0,0.161,True
B6,B,0.814,0.802,0.693,0.934,0.647,0.844,207.03,60.0,0.98,False
C1,C,0.805,0.784,0.659,0.907,0.636,0.842,103.87,53.0,0.994,False
C2,C,0.792,0.737,0.624,0.895,0.52,0.834,1000.0,15.0,0.382,False
C3,C,0.817,0.788,0.671,0.93,0.614,0.853,1000.0,42.0,0.998,False
C4,C,0.796,0.829,0.735,0.832,0.746,0.811,1000.0,49.0,0.602,False
C5,C,0.833,0.843,0.771,0.946,0.741,0.849,70.85,66.0,1.0,False
C6,C,0.83,0.832,0.757,0.932,0.722,0.848,199.5,68.0,0.798,False
C7,C,0.809,0.791,0.683,0.912,0.681,0.841,1000.0,50.0,0.999,False
