Target,n,pos,PROTAC-STAN,Ribes standard,Ribes target-split
AR,28,11,0.652,0.39,0.166
BRD2,4,3,0.333,0.667,0.333
BRD4,39,20,0.503,0.526,0.537
BRD4 BD1,5,2,0.0,0.667,0.0
BRD9,28,15,0.415,0.872,0.533
BTK,30,26,0.75,0.567,0.817
CBP,50,34,0.436,0.673,0.702
CDK4,15,4,0.295,0.432,0.364
CDK9,17,9,0.681,0.306,0.25
ERalpha,217,53,0.178,0.365,0.569
FKBP12,7,5,0.6,0.7,0.4
FLT3,4,3,1.0,1.0,1.0
HDAC8,8,3,0.267,0.267,0.733
ITK,18,13,0.462,0.585,0.338
KRAS G12D,14,2,0.792,0.708,0.5
MAP4K1,57,14,0.664,0.349,0.274
SMARCA2,2,1,1.0,1.0,1.0
