ID,series,Smiles,ik14,skin_retention_pct,dc50_nM,dc50_censored,dmax_pct,dc50_raw,dmax_raw,leaked_stan_train,leaked_old_db,caco2_log10Papp_pred,caco2_Papp_pred_nm_s,logKp,MW,TPSA,stan_active_prob
A1,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CC(CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)C4)=C3)=O,BHFWRNDFPCQHOI,8.45,,,,,,False,False,-1.3012949,0.4996951,-7.253,554.569,90.03,0.613
A2,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,QUEAMSQLKNVUPL,1.94,,,,,,False,False,-1.4561245,0.34984484,-7.062,568.596,90.03,0.107
A3,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N4CCN(CC(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)CC4)=C3)=O,WXVPDRFGATVSIX,8.73,,,,,,False,False,-1.3360432,0.46127164,-7.627,583.611,93.27,0.205
A4,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CCCC4CN(CC5)CCC5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,HBVQLMCQNITKRJ,5.75,,,,,,False,False,-1.6531985,0.22222939,-6.87,582.623,90.03,0.489
A5,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=C1C=CC(N(C4)CC4N(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=C3)=O,KHNWNCRFBKXCLJ,5.84,,,,,,False,False,-1.4300328,0.3715071,-8.1,541.53,93.27,0.055
A6,A,O=C(N(C1C(NC(CC1)=O)=O)C2=O)C(C2=CC=C3)=C3N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6,JFAPRUPBINEFPU,0.96,,,,,,False,False,-1.4177723,0.38214457,-7.818,569.584,93.27,0.058
A7,A,O=C(N1C2C(NC(CC2)=O)=O)C3=CC(N(CC4)CC4CN(CC5)CCN5C6=CC=C(C(F)(F)F)C=C6)=CC=C3C1=O,OMCNXABIZQBFFQ,0.68,,,,,,False,False,-1.5299053,0.29518527,-7.818,569.584,93.27,0.071
A8,A,O=C(N1C2C(NC(CC2)=O)=O)C3=C(NC4CCN(CC5CCN(C6=CC=C(C(F)(F)F)C=C6)CC5)CC4)C=CC=C3C1=O,BIOPFOQVWFOKFQ,4.34,,,,,,False,False,-1.4605668,0.34628466,-7.177,597.638,102.06,0.753
A9,A,O=C1N(C2C(NC(CC2)=O)=O)C(C3=CC(F)=C(N4CC(CN5CCC(C6=CC=C(C(F)(F)F)C=C6)CC5)C4)C=C31)=O,PGKGFERHZUZJRG,2.22,,,,,,False,False,-1.2167573,0.6070755,-7.264,572.559,90.03,0.514
A10,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N(CC3)CCN3CC(CC4)CCN4C5=CC=C(F)C=C5,VVOGSAIRLAXLFE,4.99,,,,,,False,False,-1.4245712,0.3762087,-7.693,507.61,84.99,0.083
A11,A,O=C(NC1C(NC(CC1)=O)=O)C(C=C2)=CC=C2N3CCN(C(CC4)CCN4C5=CC=C(F)C=C5)CC3,VUCUGYIPBBFFHH,9.12,,,,,,False,False,-1.5190364,0.30266595,-7.783,493.583,84.99,0.1
