ID,series,dc50_nM,dc50_censored,dmax_pct,ribes_proba
A1,A,,,,0.7781411
A2,A,,,,0.7630586
A3,A,,,,0.7888891
A4,A,,,,0.76195073
A5,A,,,,0.7844687
A6,A,,,,0.79502535
A7,A,,,,0.7940714
A8,A,,,,0.7796919
A9,A,,,,0.7630396
A10,A,,,,0.7609299
A11,A,,,,0.7804977
A12,A,,,,0.7823016
A13,A,,,,0.78506655
A14,A,,,,0.7591242
A15,A,,,,0.75579387
A16,A,,,,0.7578034
B1,B,1000.0,>,48.0,0.7827036
B2,B,1000.0,>,37.0,0.7885349
B3,B,8.97,,76.0,0.77225906
B4,B,1000.0,>,34.0,0.7861425
B5,B,1000.0,>,37.0,0.78822535
B6,B,207.03,,60.0,0.78590614
C1,C,103.87,,53.0,0.7743426
C2,C,1000.0,>,15.0,0.77774113
C3,C,1000.0,>,42.0,0.78217983
C4,C,1000.0,>,49.0,0.7758662
C5,C,70.85,,66.0,0.76124984
C6,C,199.5,,68.0,0.760763
C7,C,1000.0,>,50.0,0.7895499
