ik14,Uniprot,E3 ligase,cell_ribes,active,dc50_nM,dmax_pct,ribes_seen,ribes_proba_standard,ribes_major_standard,ribes_proba_target,ribes_major_target
ABUVLEBOCBCHTJ,Q9BY41,VHL,Jurkat,1,62.1,93.0,False,0.36174276,0,0.26285458,0
ACMROOUABKJKKG,P03372,CRBN,MCF-7,0,1.6,55.0,False,0.52815264,1,0.2848728,0
ACOYARXDWOCIQF,Q06187,CRBN,TMD8,1,0.63,96.0,False,0.8823414,1,0.67837954,1
ACPPLMFDTMNKCM,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.46988568,0,0.32441393,0
ACWNPHGMLLQDAP,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4432368,0,0.36437556,0
ADRHCEUDBUBWKX,Q08881,CRBN,Jurkat,0,286.2,75.0,False,0.631685,1,0.5511239,1
AFOZBJWRMXDABQ,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5357227,1,0.29008082,0
AGGBOQMCNPMCEP,P03372,CRBN,MCF-7,1,0.3034,94.0,False,0.48351645,0,0.27283382,0
AIHGVELLLJOFHL,Q07889,VHL,NCI-H358,1,49.3,97.9,False,0.7492184,1,0.45404026,0
AIYNYUZXZDOMQJ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49311176,0,0.31505767,0
AJLHRCDOQDFNEX,P10275,CRBN,VCaP,0,125.0,79.0,False,0.7661293,1,0.5663526,1
AJSOJCBVVBEEBC,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5348459,1,0.2839703,0
AJWSNEGCXBPCNT,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4582837,0,0.30468616,0
AJZOFKWTODCUAD,Q06187,CRBN,Ramos,1,7.2,88.0,False,0.7885663,1,0.59885603,1
ALNALCAXCHYNEZ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43363848,0,0.38456073,0
AMLZOEQMRXMGBU,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4921793,0,0.2813989,0
AMVGRMOPMWIDQT,P09874,CRBN,HCT 116,0,20000.0,30.21,False,0.7312011,1,0.437322,0
ANCKEXHDLITENC,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.45271835,0,0.32803202,0
ANFFPFFAJDSUIN,Q92793,CRBN,RS4;11,1,0.7000000000000001,97.0,False,0.756289,1,0.5853674,1
APWOOBMCOBNDHY,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.52720845,1,0.28652194,0
ARGWXWOIQUCZEV,Q92918,CRBN,Jurkat,0,214.0,64.0,False,0.4498299,0,0.427768,0
ARONHQOAKYUHEE,O75530,VHL,DB,0,33.5,54.0,False,0.59850204,1,0.3762337,0
ASAZRIHLBRZDGN,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4419112,0,0.3194256,0
ASWBOXVCGUROKR,P10275,CRBN,LNCaP,1,50.0,80.0,False,0.63043565,1,0.53711146,1
ATBRMGQNZNGMFO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44862905,0,0.3130854,0
AUSKCHAXYLLRLE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.54184633,1,0.2934407,0
AUTNFFMAIXBPJH,Q92918,CRBN,Jurkat,1,83.0,84.0,False,0.4180963,0,0.4453154,0
AXPGRWCCCLWKQJ,Q92793,CRBN,RS4;11,1,0.6,93.0,False,0.7493853,1,0.5726604,1
AXRKIGKHAWQOIW,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43788168,0,0.3627105,0
AYAZRRMDIRRQIO,P09874,CRBN,HCT 116,0,19050.0,53.86,False,0.7370313,1,0.46002278,0
AZHUEXVTSOWSHM,Q92918,CRBN,Jurkat,0,10000.0,38.0,False,0.45720974,0,0.45347953,0
AZUMMPMTXCIABP,P09874,CRBN,HCT 116,0,60.0,78.9,False,0.73406273,1,0.46349967,0
BABOKNCCEBLQBS,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.42691195,0,0.30828503,0
BACGQACNNRMVST,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44376063,0,0.30432382,0
BACJQQPMNYUFEJ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44927943,0,0.36786273,0
BCEPXVPMTREAEK,P09874,CRBN,HCT 116,0,15560.0,59.38,False,0.7459359,1,0.47089612,0
BCTQCVAIXQOKKW,P01116,CRBN,AsPC-1,0,250.0,50.0,False,0.48128513,0,0.33204827,0
BCVLYCZNORVOHF,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44186845,0,0.31833133,0
BDKALJFRDMDIAS,P09874,CRBN,HCT 116,0,20000.0,30.08,False,0.73272604,1,0.46972707,0
BDNSXFYBAGJQEM,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.48463368,0,0.27557215,0
BFIQFJPAAODXMJ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.45692244,0,0.33477613,0
BFJAUQYYPAGZSF,P03372,CRBN,MCF-7,1,0.5,84.0,False,0.5502321,1,0.2949295,0
BGFZCKUUCGMNJV,O60885,CRBN,HEK293T,1,8.0,99.0,False,0.7834428,1,0.645633,1
BGOYIRIGJGUHKW,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.51912093,1,0.27489862,0
BHFGWNJOMROHBE,P03372,CRBN,MCF-7,1,0.6049,86.0,False,0.5281844,1,0.31849566,0
BHJMKXPWFAXZQO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49306354,0,0.32984257,0
BIAFTUVWZFGLLG,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5270328,1,0.2786753,0
BIASTFAZPRBBSG,Q92918,CRBN,Jurkat,0,295.1,58.1,False,0.46508315,0,0.4964786,0
BIDOMOZYZFXRJX,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.50353646,1,0.33524695,0
BIXUQMFHSNFYGK,Q9H8M2,CRBN,HEK293,1,12.9,99.0,False,0.4958302,0,0.3738474,0
BJMXASDRKLKNMF,Q92793,CRBN,VCaP,1,0.4,95.0,False,0.8685606,1,0.62662435,1
BKPOBOXXAAENEJ,P01116,VHL,AsPC-1,1,87.2,96.2,False,0.52537936,1,0.31281993,0
BMFQDIJFSLSDGG,Q92793,CRBN,VCaP,1,0.75,95.0,False,0.8683502,1,0.6325726,1
BNBZPIRDZWDOBS,Q92918,CRBN,Jurkat,0,10000.0,41.4,False,0.45531616,0,0.47522447,0
BNXHIGZFJKRLPQ,P09874,CRBN,HCT 116,0,20000.0,6.96,False,0.72664624,1,0.46035036,0
BNZBBHXKCFPTND,O60885,CRBN,HEK293,0,16.7,48.0,False,0.78761363,1,0.6435664,1
BOGUYWKARAFBPH,P03372,CRBN,MCF-7,1,0.03802,98.0,False,0.47221598,0,0.27632704,0
BOTLERLEUZNEQQ,Q9H8M2,CRBN,HEK293,0,144.0,68.0,False,0.4868008,0,0.38823223,0
BOTNYBYGXINQBK,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.4595648,0,0.3718004,0
BOVQJWFEGGGBSA,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.45391855,0,0.3031421,0
BOYDCCMACMIQHO,Q92918,CRBN,Jurkat,0,126.9,79.3,False,0.45618537,0,0.47199202,0
BPMPMTNALPLART,O60885,CRBN,HEK293T,0,168.0,82.0,False,0.77689177,1,0.6457769,1
BRTHDWUEKWQNLW,P03372,CRBN,MCF-7,0,50.0,75.0,False,0.53006256,1,0.27899122,0
BRVKXRGJXOTRLD,O60885,CRBN,HEK293T,1,48.0,99.0,False,0.7820236,1,0.6489242,1
BSQNILTVRXZUQD,P03372,CRBN,MCF-7,1,0.021,100.0,False,0.49920407,0,0.27989072,0
BTFZUHUKXYZEIP,Q92793,CRBN,22Rv1,1,45.35,82.0,False,0.70435214,1,0.50305724,1
BUEXWHUMUYQITQ,P21802,CRBN,KATO III,1,11.8,80.0,False,0.8040517,1,0.51672345,1
BUSHRVRBJUJRHC,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.45147458,0,0.32637084,0
BUVZNGYPKFISMJ,O60885,CRBN,HEK293T,1,8.0,99.0,False,0.78632885,1,0.6457132,1
BXBADDOYKAVBPB,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.52698183,1,0.2895851,0
BXZCAZQCSDZOPG,P01116,CRBN,AsPC-1,0,625.0,60.0,False,0.4467485,0,0.37781954,0
CAIZDTGPHVIVNW,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.48933378,0,0.3172189,0
CCGDUFKHVCWPGU,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4960741,0,0.27279994,0
CDPPFGYWNYFBJP,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5322783,1,0.2884551,0
CDTOXJLABDJMQI,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5294406,1,0.26380205,0
CEQYTRYZACKCQQ,P50750,CRBN,MDA-MB-231,1,3.16,100.0,False,0.42087427,0,0.29135576,0
CFJHWTNVZZUCND,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.456071,0,0.31343606,0
CFKSLEVNKGAZLG,P03372,CRBN,MCF-7,1,0.03638,100.0,False,0.4869604,0,0.26983756,0
CJNXAWUQEHJXFM,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.4926331,0,0.33232605,0
CKXFAVYWVQQDCA,P62942,CRBN,HEK293T,0,586.0,96.0,False,0.46775284,0,0.34992108,0
CLMAGEKQBJFDQU,Q92793,CRBN,RS4;11,0,5.5,73.5,False,0.7581896,1,0.5937118,1
CLOGPFCVCQLTFP,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.50454015,1,0.3336022,0
CMAGYLGVBWUBOU,P01116,VHL,AsPC-1,0,1310.0,90.2,False,0.5232306,1,0.31069174,0
CMHZLXRKWLPGRA,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.5058317,1,0.336578,0
CNOWYWLQWIORPN,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.42367896,0,0.31524512,0
CRBGTTZMTNBASJ,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.49767748,0,0.3186802,0
CRMDRFIUPPEYQV,O60885,CRBN,HEK293T,0,557.0,43.0,False,0.7904287,1,0.650353,1
CSNPVEIUSQQSBW,P50750,CRBN,MOLM-13,1,40.0,88.6,False,0.44819176,0,0.39672562,0
CUHQSAFKNPVULS,P10275,CRBN,LNCaP,1,7.0,97.0,False,0.62914014,1,0.5339441,1
CVKQCCMWCAPLPB,P09874,CRBN,HCT 116,0,16340.0,47.58,False,0.73182344,1,0.47190365,0
CVUVXYSJMLTDOZ,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.51465887,1,0.29358113,0
CWPYAQAUDZXPCR,P03372,CRBN,MCF-7,1,0.0255,100.0,False,0.47421837,0,0.27423108,0
CXGNUIAJMASHEF,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4272971,0,0.31929502,0
CXPSCYPEJFGWBU,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.42994773,0,0.29729235,0
CZJSNFIBYLCJGN,O60885,CRBN,HEK293,0,2.0,59.0,False,0.7825466,1,0.64012367,1
DBCBONGVJRKWGN,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.53894275,1,0.2832641,0
DBLOHMVEVJIEPT,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.46833065,0,0.3244776,0
DBZBSIABLAXYQF,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.54029566,1,0.2760068,0
DCQPFBPLVREYQW,Q92918,CRBN,Jurkat,1,52.4,81.0,False,0.40365443,0,0.43089923,0
DDGLFVWBLINNFM,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.4869249,0,0.27573332,0
DDWYIJVVFDEBAV,Q92793,CRBN,VCaP,0,1000.0,50.0,False,0.8496828,1,0.6120477,1
DEWYRSGQGYGJMX,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.515292,1,0.3293762,0
DGOOGLKGZDROBO,P03372,CRBN,MCF-7,1,0.9,100.0,False,0.5128228,1,0.27255633,0
