ID,series,stan_active_prob,stan_pred,dc50_nM,dc50_censored,dmax_pct,skin_retention_pct,leaked_stan_train,leaked_old_db,leaked
A1,A,0.613,1,,,,8.45,False,False,False
A2,A,0.107,0,,,,1.94,False,False,False
A3,A,0.205,0,,,,8.73,False,False,False
A4,A,0.489,0,,,,5.75,False,False,False
A5,A,0.055,0,,,,5.84,False,False,False
A6,A,0.058,0,,,,0.96,False,False,False
A7,A,0.071,0,,,,0.68,False,False,False
A8,A,0.753,1,,,,4.34,False,False,False
A9,A,0.514,1,,,,2.22,False,False,False
A10,A,0.083,0,,,,4.99,False,False,False
A11,A,0.1,0,,,,9.12,False,False,False
A12,A,0.599,1,,,,6.93,False,False,False
A13,A,0.432,0,,,,3.92,False,False,False
A14,A,0.116,0,,,,1.91,False,False,False
A15,A,0.178,0,,,,5.41,False,False,False
A16,A,0.066,0,,,,2.48,False,False,False
B1,B,0.18,0,1000.0,>,48.0,0.6,False,False,False
B2,B,0.669,1,1000.0,>,37.0,0.58,False,False,False
B3,B,0.254,0,8.97,,76.0,0.69,True,True,True
B4,B,0.517,1,1000.0,>,34.0,0.74,False,False,False
B5,B,0.161,0,1000.0,>,37.0,1.41,True,True,True
B6,B,0.98,1,207.03,,60.0,0.62,False,False,False
C1,C,0.994,1,103.87,,53.0,1.31,False,False,False
C2,C,0.382,0,1000.0,>,15.0,0.81,False,False,False
C3,C,0.998,1,1000.0,>,42.0,1.0,False,False,False
C4,C,0.602,1,1000.0,>,49.0,1.49,False,False,False
C5,C,1.0,1,70.85,,66.0,1.23,False,False,False
C6,C,0.798,1,199.5,,68.0,2.48,False,False,False
C7,C,0.999,1,1000.0,>,50.0,1.86,False,False,False
