ID,series,MW,logP,TPSA,RotBond,logKp,MW_gt750,TPSA_gt140,skin_retention_pct
A1,A,554.569,3.422,90.03,5,-7.253,False,False,8.45
A2,A,568.596,3.813,90.03,5,-7.062,False,False,1.94
A3,A,583.611,3.145,93.27,5,-7.627,False,False,8.73
A4,A,582.623,4.203,90.03,5,-6.87,False,False,5.75
A5,A,541.53,2.117,93.27,4,-8.1,False,False,5.84
A6,A,569.584,2.755,93.27,5,-7.818,False,False,0.96
A7,A,569.584,2.755,93.27,5,-7.818,False,False,0.68
A8,A,597.638,3.9,102.06,6,-7.177,False,False,4.34
A9,A,572.559,3.562,90.03,5,-7.264,False,False,2.22
A10,A,507.61,2.399,84.99,6,-7.693,False,False,4.99
A11,A,493.583,2.152,84.99,5,-7.783,False,False,9.12
A12,A,466.557,2.506,81.75,8,-7.367,False,False,6.93
A13,A,521.637,2.789,84.99,7,-7.502,False,False,3.92
A14,A,578.591,2.518,82.19,5,-8.042,False,False,1.91
A15,A,578.591,2.518,82.19,5,-8.042,False,False,5.41
A16,A,510.516,2.64,72.96,3,-7.54,False,False,2.48
B1,B,763.295,5.049,152.15,9,-7.372,True,True,0.6
B2,B,791.349,5.829,152.15,9,-6.989,True,True,0.58
B3,B,792.337,4.771,155.39,9,-7.746,True,True,0.69
B4,B,778.31,4.381,155.39,9,-7.937,True,True,0.74
B5,B,750.256,3.744,155.39,8,-8.219,True,True,1.41
B6,B,792.337,4.771,155.39,9,-7.746,True,True,0.62
C1,C,752.316,4.658,147.11,9,-7.582,True,True,1.31
C2,C,766.343,4.905,147.11,10,-7.492,True,True,0.81
C3,C,780.37,5.295,147.11,11,-7.301,True,True,1.0
C4,C,725.29,5.012,143.87,12,-7.166,False,True,1.49
C5,C,737.301,5.182,143.87,10,-7.118,False,True,1.23
C6,C,765.355,5.963,143.87,10,-6.735,True,True,2.48
C7,C,752.316,4.515,147.11,10,-7.683,True,True,1.86
